episode,reward,steps,success
1210,88,13,1
1211,88,13,1
1212,88,13,1
1213,88,13,1
1214,86,15,1
1215,88,13,1
1216,86,15,1
1217,68,14,1
1218,48,15,1
1219,88,13,1
1220,66,16,1
1221,88,13,1
1222,86,15,1
1223,84,17,1
1224,68,14,1
1225,88,13,1
1226,88,13,1
1227,88,13,1
1228,68,14,1
1229,68,14,1
1230,68,14,1
1231,88,13,1
1232,88,13,1
1233,88,13,1
1234,88,13,1
1235,88,13,1
1236,68,14,1
1237,88,13,1
1238,88,13,1
1239,88,13,1
1240,68,14,1
1241,88,13,1
1242,88,13,1
1243,66,16,1
1244,68,14,1
1245,88,13,1
1246,88,13,1
1247,88,13,1
1248,88,13,1
1249,88,13,1
1250,88,13,1
1251,68,14,1
1252,88,13,1
1253,88,13,1
1254,88,13,1
1255,86,15,1
1256,88,13,1
1257,26,18,1
1258,68,14,1
1259,88,13,1
1260,86,15,1
1261,88,13,1
1262,88,13,1
1263,88,13,1
1264,68,14,1
1265,88,13,1
1266,66,16,1
1267,88,13,1
1268,86,15,1
1269,88,13,1
1270,86,15,1
1271,88,13,1
1272,86,15,1
1273,88,13,1
1274,88,13,1
1275,88,13,1
1276,88,13,1
1277,88,13,1
1278,68,14,1
1279,88,13,1
1280,88,13,1
1281,68,14,1
1282,68,14,1
1283,86,15,1
1284,88,13,1
1285,88,13,1
1286,68,14,1
1287,68,14,1
1288,68,14,1
1289,88,13,1
1290,88,13,1
1291,68,14,1
1292,86,15,1
1293,88,13,1
1294,88,13,1
1295,88,13,1
1296,88,13,1
1297,88,13,1
1298,88,13,1
1299,68,14,1
1300,88,13,1
1301,88,13,1
1302,88,13,1
1303,88,13,1
1304,88,13,1
1305,86,15,1
1306,88,13,1
1307,48,15,1
1308,48,15,1
1309,88,13,1
1310,88,13,1
1311,68,14,1
1312,88,13,1
1313,68,14,1
1314,88,13,1
1315,68,14,1
1316,88,13,1
1317,88,13,1
1318,88,13,1
1319,88,13,1
1320,88,13,1
1321,68,14,1
1322,88,13,1
1323,68,14,1
1324,88,13,1
1325,88,13,1
1326,88,13,1
1327,88,13,1
1328,88,13,1
1329,88,13,1
1330,88,13,1
1331,68,14,1
1332,66,16,1
1333,88,13,1
1334,28,16,1
1335,66,16,1
1336,88,13,1
1337,88,13,1
1338,88,13,1
1339,88,13,1
1340,68,14,1
1341,88,13,1
1342,88,13,1
1343,86,15,1
1344,88,13,1
1345,88,13,1
1346,88,13,1
1347,88,13,1
1348,48,15,1
1349,88,13,1
1350,88,13,1
1351,66,16,1
1352,88,13,1
1353,66,16,1
1354,88,13,1
1355,88,13,1
1356,68,14,1
1357,88,13,1
1358,88,13,1
1359,88,13,1
1360,88,13,1
1361,68,14,1
1362,68,14,1
1363,46,17,1
1364,66,16,1
1365,88,13,1
1366,68,14,1
1367,88,13,1
1368,88,13,1
1369,88,13,1
1370,88,13,1
1371,88,13,1
1372,88,13,1
1373,88,13,1
1374,84,17,1
1375,86,15,1
1376,88,13,1
1377,88,13,1
1378,68,14,1
1379,88,13,1
1380,68,14,1
1381,86,15,1
1382,88,13,1
1383,86,15,1
1384,88,13,1
1385,88,13,1
1386,88,13,1
1387,68,14,1
1388,88,13,1
1389,88,13,1
1390,88,13,1
1391,88,13,1
1392,88,13,1
1393,68,14,1
1394,86,15,1
1395,86,15,1
1396,84,17,1
1397,88,13,1
1398,86,15,1
1399,88,13,1
1400,88,13,1
1401,68,14,1
1402,88,13,1
1403,88,13,1
1404,68,14,1
1405,66,16,1
1406,88,13,1
1407,68,14,1
1408,68,14,1
1409,88,13,1
1410,88,13,1
1411,68,14,1
1412,88,13,1
1413,88,13,1
1414,66,16,1
1415,88,13,1
1416,88,13,1
1417,86,15,1
1418,68,14,1
1419,48,15,1
1420,88,13,1
1421,88,13,1
1422,88,13,1
1423,88,13,1
1424,68,14,1
1425,88,13,1
1426,88,13,1
1427,88,13,1
1428,88,13,1
1429,68,14,1
1430,68,14,1
1431,88,13,1
1432,88,13,1
1433,88,13,1
1434,88,13,1
1435,88,13,1
1436,88,13,1
1437,88,13,1
1438,80,21,1
1439,88,13,1
1440,68,14,1
1441,84,17,1
1442,88,13,1
1443,88,13,1
1444,68,14,1
1445,88,13,1
1446,88,13,1
1447,88,13,1
1448,88,13,1
1449,88,13,1
1450,86,15,1
1451,88,13,1
1452,86,15,1
1453,88,13,1
1454,86,15,1
1455,88,13,1
1456,88,13,1
1457,46,17,1
1458,86,15,1
1459,88,13,1
1460,88,13,1
1461,88,13,1
1462,88,13,1
1463,88,13,1
1464,88,13,1
1465,88,13,1
1466,88,13,1
1467,88,13,1
1468,88,13,1
1469,88,13,1
1470,68,14,1
1471,66,16,1
1472,88,13,1
1473,68,14,1
1474,88,13,1
1475,88,13,1
1476,86,15,1
1477,88,13,1
1478,88,13,1
1479,88,13,1
1480,88,13,1
1481,88,13,1
1482,88,13,1
1483,68,14,1
1484,88,13,1
1485,88,13,1
1486,88,13,1
1487,66,16,1
1488,88,13,1
1489,88,13,1
1490,88,13,1
1491,88,13,1
1492,88,13,1
1493,88,13,1
1494,48,15,1
1495,88,13,1
1496,68,14,1
1497,88,13,1
1498,88,13,1
1499,86,15,1
